immersive,adv,sim,rpg
atmospheric,adv,sim,rpg
sprawling,adv,,
open,adv,,
heart-cracking,stry,chrm,
twisty,stry,jump,
witty,stry,chrm,
quirky,stry,chrm,
evocative,stry,,
profound,stry,,
nail biting,hrd,hrr,
fast-paced,hrd,jump,
painful,hrd,,
frusturating,hrd,,
precise,hrd,,
challenging,hrd,,
dangerous,hrd,,
complicated,hrd,,
smooth,jump,,
floaty,jump,,
terrifying,hrr,,
scary,hrr,,
thrilling,hrr,,
haunting,hrr,,
dreadful,hrr,,
frightful,hrr,,
cozy,chrm,sim,
wholesome,chrm,,
adorable,chrm,,
cute,chrm,,
endearing,chrm,,
deadly,gore,rl,
violent,gore,,
gross,gore,,
vile,gore,,
random,rl,cg,
replayable,rl,,
procedural,,,
endless,rl,,
complex,pzl,cg,
complicated,pzl,cg,
mysterious,pzl,,
realistic,sim,,
real,sim,,
relaxing,sim,,
chill,sim,,
peaceful,sim,,
creative,srv,,
hungry,srv,,
thriving,srv,,
turn based,cg,rpg,
pixel,none,,
cartoony,none,,
romantic,none,,
bald,none,,
beautiful,none,,
clean,none,,
dazzling,none,,
drab,none,,
elegant,none,,
fancy,none,,
glamorous,none,,
gorgeous,none,,
handsome,none,,
long,none,,
magnificent,none,,
muscular,none,,
plain,none,,
plump,none,,
quaint,none,,
scruffy,none,,
shapely,none,,
short,none,,
stocky,none,,
ashy,none,,
black,none,,
blue,none,,
gray,none,,
green,none,,
icy,none,,
purple,none,,
red,none,,
salmon,none,,
white,none,,
yellow,none,,
alive,none,,
better,none,,
careful,none,,
clever,none,,
dead,none,,
easy,none,,
famous,none,,
gifted,none,,
hallowed,none,,
helpful,none,,
important,none,,
inexpensive,none,,
mealy,none,,
mushy,none,,
odd,none,,
poor,none,,
powerful,none,,
rich,none,,
shy,none,,
tender,none,,
unimportant,none,,
uninterested,none,,
vast,none,,
wrong,none,,
aggressive,none,,
agreeable,none,,
ambitious,none,,
brave,none,,
calm,none,,
delightful,none,,
eager,none,,
faithful,none,,
gentle,none,,
happy,none,,
jolly,none,,
kind,none,,
lively,none,,
nice,none,,
obedient,none,,
polite,none,,
proud,none,,
silly,none,,
thankful,none,,
victorious,none,,
witty,none,,
wonderful,none,,
zealous,none,,
angry,none,,
bewildered,none,,
clumsy,none,,
defeated,none,,
embarrassed,none,,
fierce,none,,
grumpy,none,,
helpless,none,,
itchy,none,,
jealous,none,,
lazy,none,,
mysterious,none,,
nervous,none,,
obnoxious,none,,
panicky,none,,
pitiful,none,,
repulsive,none,,
scary,none,,
thoughtless,none,,
uptight,none,,
worried,none,,
crashing,none,,
deafening,none,,
echoing,none,,
faint,none,,
harsh,none,,
hissing,none,,
howling,none,,
loud,none,,
melodic,none,,
noisy,none,,
purring,none,,
quiet,none,,
rapping,none,,
raspy,none,,
rhythmic,none,,
screeching,none,,
shrilling,none,,
squeaking,none,,
thundering,none,,
tinkling,none,,
wailing,none,,
whining,none,,
whispering,none,,
ancient,none,,
brief,none,,
early,none,,
fast,none,,
late,none,,
long,none,,
modern,none,,
old,none,,
old-fashioned,none,,
prehistoric,none,,
quick,none,,
rapid,none,,
short,none,,
slow,none,,
swift,none,,
young,none,,
acidic,none,,
bitter,none,,
cool,none,,
creamy,none,,
delicious,none,,
disgusting,none,,
fresh,none,,
greasy,none,,
juicy,none,,
hot,none,,
moldy,none,,
nutritious,none,,
nutty,none,,
putrid,none,,
rancid,none,,
ripe,none,,
rotten,none,,
salty,none,,
savory,none,,
sour,none,,
spicy,none,,
spoiled,none,,
stale,none,,
sweet,none,,
tangy,none,,
tart,none,,
tasteless,none,,
tasty,none,,
yummy,none,,
breezy,none,,
bumpy,none,,
chilly,none,,
cold,none,,
cool,none,,
cuddly,none,,
damaged,none,,
damp,none,,
dirty,none,,
dry,none,,
flaky,none,,
fluffy,none,,
freezing,none,,
greasy,none,,
hot,none,,
icy,none,,
loose,none,,
melted,none,,
prickly,none,,
rough,none,,
shaggy,none,,
sharp,none,,
slimy,none,,
sticky,none,,
strong,none,,
tight,none,,
uneven,none,,
warm,none,,
weak,none,,
wet,none,,
wooden,none,,
abundant,none,,
enough,none,,
few,none,,
full,none,,
incalculable,none,,
limited,none,,
little,none,,
many,none,,
most,none,,
numerous,none,,
scarce,none,,
some,none,,
sparse,none,,
substantial,none,,
illegal,none,,
Temporary,none,,
hundreds of,none,,
thousands of,none,,
millions of,none,,
billions of,none,,
