heroically,adv,rpg,
evilly,adv,hrr,gore
 fearlessly,adv,hrr,
boldly,adv,,
daringly,adv,,
thoughtfully,stry,pzl,cg
wittily,stry,chrm,
quirkily,stry,chrm,
thoroughly,stry,,
eloquently,stry,,
satisfyingly,hrd,jump,
painfully,hrd,,
painstakingly,hrd,,
rapidly,hrd,,
quickly,jump,hrr,
smoothly,jump,,
speedily,jump,,
fearfully,hrr,,
in fear,hrr,,
lovingly,chrm,,
adorabably,chrm,,
coolly,chrm,,
violently,gore,,
gruesomely,gore,,
impulsively,gore,,
randomly,rl,cg,
procedurally,rl,,
infinitely,rl,,
strategically,pzl,rpg,
smartly,pzl,,
quizzically,pzl,,
realistically,sim,,
physically,sim,,
peacefully,sim,,
nonchalantly,sim,,
craftily,srv,,
resourcefully,srv,,
abnormally,none,,
absentmindedly,none,,
accidentally,none,,
acidly,none,,
actually,none,,
adventurously,none,,
afterwards,none,,
almost,none,,
always,none,,
angrily,none,,
annually,none,,
anxiously,none,,
arrogantly,none,,
awkwardly,none,,
badly,none,,
bashfully,none,,
beautifully,none,,
bitterly,none,,
bleakly,none,,
blindly,none,,
blissfully,none,,
boastfully,none,,
boldly,none,,
bravely,none,,
briefly,none,,
brightly,none,,
briskly,none,,
broadly,none,,
busily,none,,
calmly,none,,
carefully,none,,
carelessly,none,,
cautiously,none,,
certainly,none,,
cheerfully,none,,
clearly,none,,
cleverly,none,,
closely,none,,
coaxingly,none,,
colorfully,none,,
commonly,none,,
continually,none,,
coolly,none,,
correctly,none,,
courageously,none,,
crossly,none,,
cruelly,none,,
curiously,none,,
daily,none,,
daintily,none,,
dearly,none,,
deceivingly,none,,
delightfully,none,,
deeply,none,,
defiantly,none,,
deliberately,none,,
delightfully,none,,
diligently,none,,
dimly,none,,
doubtfully,none,,
dreamily,none,,
easily,none,,
elegantly,none,,
energetically,none,,
enormously,none,,
enthusiastically,none,,
equally,none,,
especially,none,,
even,none,,
evenly,none,,
eventually,none,,
exactly,none,,
excitedly,none,,
extremely,none,,
fairly,none,,
faithfully,none,,
famously,none,,
far,none,,
fast,none,,
fatally,none,,
ferociously,none,,
fervently,none,,
